,sample_name,Observed,Shannon,InvSimpson,sample_num,host_species,treatment,timepoint,treat_time,genotype,fragment,lib_size,is.neg,even
1,KA1-1,18,1.815034835,5.28838362,KA1-1,franksi,control,postheat,control_postheat,KA,KA1,21143,FALSE,0.627958957
2,KA3-1,16,1.856116244,4.884397441,KA3-1,franksi,control,preheat,control_preheat,KA,KA3,2853,FALSE,0.669452425
3,KA4-2,138,4.1175199,35.345763,KA4-2,franksi,thermvar,preheat,thermvar_preheat,KA,KA4,15376,FALSE,0.83566225
4,KA5-2,85,3.80003467,33.53885561,KA5-2,franksi,thermvar,postheat,thermvar_postheat,KA,KA5,11381,FALSE,0.855352908
5,KB13-2,17,2.08425809,5.917790984,KB13-2,franksi,thermvar,preheat,thermvar_preheat,KB,KB13,13053,FALSE,0.735651657
6,KB28-1,32,2.539260256,8.044208457,KB28-1,franksi,control,preheat,control_preheat,KB,KB28,9018,FALSE,0.732675636
7,KB39-1,32,2.572203777,8.90385129,KB39-1,franksi,control,postheat,control_postheat,KB,KB39,11185,FALSE,0.742181127
8,KB39-2,42,2.203230617,4.641909394,KB39-2,franksi,thermvar,postheat,thermvar_postheat,KB,KB39,10493,FALSE,0.58946639
9,KE13-1,198,4.349135504,43.18717463,KE13-1,franksi,control,preheat,control_preheat,KE,KE13,27347,FALSE,0.822412234
10,KE14-1,37,3.150989302,20.50289262,KE14-1,franksi,control,postheat,control_postheat,KE,KE14,26998,FALSE,0.872628339
11,KE31-2,279,4.450915181,30.50680978,KE31-2,franksi,thermvar,postheat,thermvar_postheat,KE,KE31,58727,FALSE,0.790400957
12,KE9-2,158,3.892028958,26.2267693,KE9-2,franksi,thermvar,preheat,thermvar_preheat,KE,KE9,50980,FALSE,0.768781412
13,KF19-1,22,1.437326509,2.40095572,KF19-1,franksi,control,postheat,control_postheat,KF,KF19,10687,FALSE,0.464997337
14,KF19-2,27,2.456773633,9.221583266,KF19-2,franksi,thermvar,postheat,thermvar_postheat,KF,KF19,9993,FALSE,0.745417244
15,KF23-2,52,2.729244309,9.243692422,KF23-2,franksi,thermvar,preheat,thermvar_preheat,KF,KF23,18440,FALSE,0.690730439
16,KF9-1,44,2.613618995,8.846327128,KF9-1,franksi,control,preheat,control_preheat,KF,KF9,15600,FALSE,0.690668082
17,KG12-1,151,3.920120579,26.56499272,KG12-1,franksi,control,preheat,control_preheat,KG,KG12,41903,FALSE,0.781323886
18,KG12-2,416,5.234916832,91.14261035,KG12-2,franksi,thermvar,preheat,thermvar_preheat,KG,KG12,50505,FALSE,0.868046765
19,KG31-1,325,4.223816665,19.30211321,KG31-1,franksi,control,postheat,control_postheat,KG,KG31,37751,FALSE,0.730280832
20,KG31-2,25,1.900856198,4.060433582,KG31-2,franksi,thermvar,postheat,thermvar_postheat,KG,KG31,7875,FALSE,0.590534181
21,VB1-2,20,1.955214402,5.163630202,VB1-2,faveolata,thermvar,preheat,thermvar_preheat,VB,VB1,11830,FALSE,0.652666601
22,VB11-1,11,1.603051661,3.744596189,VB11-1,faveolata,control,postheat,control_postheat,VB,VB11,10503,FALSE,0.668524468
23,VB11-2,33,1.87302435,3.537968842,VB11-2,faveolata,thermvar,postheat,thermvar_postheat,VB,VB11,6280,FALSE,0.535684341
24,VB5-1,623,5.66413544,154.3491877,VB5-1,faveolata,control,preheat,control_preheat,VB,VB5,63958,FALSE,0.880269561
25,VD10-1,194,3.990560523,23.18541019,VD10-1,faveolata,control,preheat,control_preheat,VD,VD10,33057,FALSE,0.757529987
26,VD15-2,108,3.10896053,11.98265429,VD15-2,faveolata,thermvar,preheat,thermvar_preheat,VD,VD15,32541,FALSE,0.664005424
27,VD17-1,42,2.741208321,8.021057824,VD17-1,faveolata,control,postheat,control_postheat,VD,VD17,6175,FALSE,0.733400381
28,VD17-2,16,2.061459698,5.855845411,VD17-2,faveolata,thermvar,postheat,thermvar_postheat,VD,VD17,4677,FALSE,0.743514421
29,VE14-2,42,2.83262275,11.28159677,VE14-2,faveolata,thermvar,preheat,thermvar_preheat,VE,VE14,11843,FALSE,0.757857981
30,VE18-1,21,2.366526481,7.701209969,VE18-1,faveolata,control,postheat,control_postheat,VE,VE18,3364,FALSE,0.777306303
31,VE18-2,24,2.636036861,11.88148673,VE18-2,faveolata,thermvar,postheat,thermvar_postheat,VE,VE18,13211,FALSE,0.829450035
32,VE30-1,72,3.536884812,21.01430319,VE30-1,faveolata,control,preheat,control_preheat,VE,VE30,15064,FALSE,0.827019158
33,VF23-2,193,4.842932485,79.43099161,VF23-2,faveolata,thermvar,preheat,thermvar_preheat,VF,VF23,64801,FALSE,0.920238948
34,VF31-1,18,2.219754177,7.161696344,VF31-1,faveolata,control,preheat,control_preheat,VF,VF31,10122,FALSE,0.76798224
35,VF40-1,53,2.473167741,6.967138144,VF40-1,faveolata,control,postheat,control_postheat,VF,VF40,14205,FALSE,0.622918364
36,VF40-2,22,1.994427278,5.381402101,VF40-2,faveolata,thermvar,postheat,thermvar_postheat,VF,VF40,19712,FALSE,0.645228045
37,VG1-1,26,2.529008813,10.12296818,VG1-1,faveolata,control,postheat,control_postheat,VG,VG1,12577,FALSE,0.776222799
38,VG1-2,38,3.004691612,15.12982486,VG1-2,faveolata,thermvar,postheat,thermvar_postheat,VG,VG1,12173,FALSE,0.826012493
39,VG17-2,46,3.303498884,23.4402949,VG17-2,faveolata,thermvar,preheat,thermvar_preheat,VG,VG17,23205,FALSE,0.862838418
