"","sample_name","Observed","Shannon","InvSimpson","host_species","treatment","timepoint","genotype","fragment","treat_time","even"
"1","KA1-1",17,1.8191162390708,5.36029921652895,"franksi","control","postheat","KA","KA1","contr_pos",0.642068216601873
"2","KA3-1",16,1.8561162438658,4.88439744102887,"franksi","control","preheat","KA","KA3","contr_pre",0.669452425084658
"3","KA4-2",132,4.08154142881578,35.2042463377607,"franksi","thermvar","preheat","KA","KA4","therm_pre",0.83590149539669
"4","KA5-2",76,3.78144250039387,33.3829960012304,"franksi","thermvar","postheat","KA","KA5","therm_pos",0.873164474297524
"5","KB13-2",17,2.10093250590093,6.05446828578166,"franksi","thermvar","preheat","KB","KB13","therm_pre",0.741536993784271
"6","KB28-1",31,2.54299459064666,8.13633005898623,"franksi","control","preheat","KB","KB28","contr_pre",0.740537002387558
"7","KB39-1",31,2.56172704806704,8.77571683476817,"franksi","control","postheat","KB","KB39","contr_pos",0.745992019050379
"8","KB39-2",40,2.15181627357381,4.45192916170085,"franksi","thermvar","postheat","KB","KB39","therm_pos",0.583325180543389
"9","KE13-1",171,4.30354646962268,41.4645165891504,"franksi","control","preheat","KE","KE13","contr_pre",0.836994957435515
"10","KE14-1",35,3.14998539619151,20.3789285776878,"franksi","control","postheat","KE","KE14","contr_pos",0.885985096736748
"11","KE31-2",228,4.44057472792547,33.2119136122343,"franksi","thermvar","postheat","KE","KE31","therm_pos",0.817883964550736
"12","KE9-2",134,3.87332109538197,25.7409056553652,"franksi","thermvar","preheat","KE","KE9","therm_pre",0.790822332617083
"13","KF19-1",21,1.41826473286766,2.37275601270389,"franksi","control","postheat","KF","KF19","contr_pos",0.465841445375645
"14","KF19-2",27,2.42942198817661,9.02504737268694,"franksi","thermvar","postheat","KF","KF19","therm_pos",0.737118397222702
"15","KF23-2",51,2.74296365792226,9.20026110103254,"franksi","thermvar","preheat","KF","KF23","therm_pre",0.697631053394829
"16","KF9-1",43,2.63361037315855,9.01918719258219,"franksi","control","preheat","KF","KF9","contr_pre",0.700204799571775
"17","KG12-1",132,3.88898561103823,25.9222391011494,"franksi","control","preheat","KG","KG12","contr_pre",0.796465978488489
"18","KG12-2",337,5.15749130818989,87.7633187772926,"franksi","thermvar","preheat","KG","KG12","therm_pre",0.886154264450944
"19","KG31-1",267,4.14828388233367,19.0826501307013,"franksi","control","postheat","KG","KG31","contr_pos",0.742455569092465
"20","KG31-2",25,1.8832371157612,3.98628973686775,"franksi","thermvar","postheat","KG","KG31","therm_pos",0.585060505040858
"21","VB1-2",20,1.92450290015292,4.94120293111183,"faveolata","thermvar","preheat","VB","VB1","therm_pre",0.642414850332998
"22","VB11-1",11,1.61169661922631,3.76321012620305,"faveolata","control","postheat","VB","VB11","contr_pos",0.672129695366319
"23","VB11-2",32,1.85478076802455,3.50496079121186,"faveolata","thermvar","postheat","VB","VB11","therm_pos",0.535176603193049
"24","VB5-1",475,5.56665080483697,153.684817702925,"faveolata","control","preheat","VB","VB5","contr_pre",0.903191055759949
"25","VD10-1",161,3.95346828327205,22.4019975615328,"faveolata","control","preheat","VD","VD10","contr_pre",0.778026702719247
"26","VD15-2",93,3.13705239616936,12.5796644746501,"faveolata","thermvar","preheat","VD","VD15","therm_pre",0.69210888826777
"27","VD17-1",41,2.7705985807899,8.59468919836418,"faveolata","control","postheat","VD","VD17","contr_pos",0.746073734674747
"28","VD17-2",16,2.04567215279595,5.7797859672269,"faveolata","thermvar","postheat","VD","VD17","therm_pos",0.737820267530842
"29","VE14-2",41,2.8246585740014,11.2373232349031,"faveolata","thermvar","preheat","VE","VE14","therm_pre",0.760631145232683
"30","VE18-1",21,2.34594073047913,7.53750552144171,"faveolata","control","postheat","VE","VE18","contr_pos",0.770544733522586
"31","VE18-2",24,2.65248097775388,12.1331867542166,"faveolata","thermvar","postheat","VE","VE18","therm_pos",0.834624307626494
"32","VE30-1",69,3.52049494082212,20.187472253293,"faveolata","control","preheat","VE","VE30","contr_pre",0.831461121018019
"33","VF23-2",179,4.79121689520691,74.2157191702758,"faveolata","thermvar","preheat","VF","VF23","therm_pre",0.923628408323171
"34","VF31-1",18,2.20199273894081,7.03626009133746,"faveolata","control","preheat","VF","VF31","contr_pre",0.761837204133073
"35","VF40-1",49,2.51037873306169,7.28330370061499,"faveolata","control","postheat","VF","VF40","contr_pos",0.645039734820339
"36","VF40-2",20,1.99159796302133,5.33271028037383,"faveolata","thermvar","postheat","VF","VF40","therm_pos",0.664811732544643
"37","VG1-1",25,2.514140066094,9.925372005936,"faveolata","control","postheat","VG","VG1","contr_pos",0.781061526720106
"38","VG1-2",36,3.01668802108085,15.4107016750003,"faveolata","thermvar","postheat","VG","VG1","therm_pos",0.841822820777539
"39","VG17-2",44,3.31445515087155,23.8415049574552,"faveolata","thermvar","preheat","VG","VG17","therm_pre",0.875869200941621
