sample_name,host_species,treatment,timepoint,genotype,fragment,treat_time
KA1-1,franksi,control,postheat,KA,KA1,cont_pos
KA3-1,franksi,control,preheat,KA,KA3,cont_pre
KA4-2,franksi,thermvar,preheat,KA,KA4,ther_pre
KA4-2R,franksi,thermvar,preheat,KA,KA4,ther_pre
KA5-2,franksi,thermvar,postheat,KA,KA5,ther_pos
KB13-2,franksi,thermvar,preheat,KB,KB13,ther_pre
KB28-1,franksi,control,preheat,KB,KB28,cont_pre
KB39-1,franksi,control,postheat,KB,KB39,cont_pos
KB39-2,franksi,thermvar,postheat,KB,KB39,ther_pos
KE13-1,franksi,control,preheat,KE,KE13,cont_pre
KE14-1,franksi,control,postheat,KE,KE14,cont_pos
KE31-2,franksi,thermvar,postheat,KE,KE31,ther_pos
KE9-2,franksi,thermvar,preheat,KE,KE9,ther_pre
KF19-1,franksi,control,postheat,KF,KF19,cont_pos
KF19-2,franksi,thermvar,postheat,KF,KF19,ther_pos
KF23-2,franksi,thermvar,preheat,KF,KF23,ther_pre
KF9-1,franksi,control,preheat,KF,KF9,cont_pre
KG12-1,franksi,control,preheat,KG,KG12,cont_pre
KG12-2,franksi,thermvar,preheat,KG,KG12,ther_pre
KG31-1,franksi,control,postheat,KG,KG31,cont_pos
KG31-2,franksi,thermvar,postheat,KG,KG31,ther_pos
VB1-2,faveolata,thermvar,preheat,VB,VB1,ther_pre
VB11-1,faveolata,control,postheat,VB,VB11,cont_pos
VB11-2,faveolata,thermvar,postheat,VB,VB11,ther_pos
VB5-1,faveolata,control,preheat,VB,VB5,cont_pre
VD10-1,faveolata,control,preheat,VD,VD10,cont_pre
VD15-2,faveolata,thermvar,preheat,VD,VD15,ther_pre
VD17-1,faveolata,control,postheat,VD,VD17,cont_pos
VD17-2,faveolata,thermvar,postheat,VD,VD17,ther_pos
VE14-2,faveolata,thermvar,preheat,VE,VE14,ther_pre
VE18-1,faveolata,control,postheat,VE,VE18,cont_pos
VE18-2,faveolata,thermvar,postheat,VE,VE18,ther_pos
VE30-1,faveolata,control,preheat,VE,VE30,cont_pre
VF23-2,faveolata,thermvar,preheat,VF,VF23,ther_pre
VF31-1,faveolata,control,preheat,VF,VF31,cont_pre
VF40-1,faveolata,control,postheat,VF,VF40,cont_pos
VF40-2,faveolata,thermvar,postheat,VF,VF40,ther_pos
VG1-1,faveolata,control,postheat,VG,VG1,cont_pos
VG1-2,faveolata,thermvar,postheat,VG,VG1,ther_pos
VG17-2,faveolata,thermvar,preheat,VG,VG17,ther_pre
VG6-1,faveolata,control,preheat,VG,VG6,cont_pre
