Nub,Genotype,Species,Tank,Treatment,Timepoint,GE_sample,Day_phys,Date_phys,Final_slurry_vol,Sym_Count_1,Sym_Count_2,Sym_Count_3,Sym_Count_4,Sym_count_avg,Notes,sym_count/ml,syms_cm2,Chl_date,Time (hours),Chla,Chlc2,Surface_Area_cm2,red_chan_avg_t3,red_chan_avg_t4,carb1,carb2,carb3,carb4,carb5,carb6,carb7,carb8,carb9,avg_carbs,prot1,prot2,prot3,avg_prot,pam_avg_t0,pam_avg_t1,pam_avg_t2,pam_avg_t3,pam_avg_t4,bw_avg_t0,bw_avg_t1,bw_avg_t2,bw_avg_t3,bw_avg_t4
KA1-1,KA,frank,6B,ctrl,postheat,postheat,Mon,4/26/21,10,69,70,72,n/a,70.33333333,,703333.3333,1718500.501,6/28/21,23.51,3.429333333,5.02554,4.092715324,46.7,49.2,0.087458,0.018194,0.016946,0.015743,0.022253,0.022253,0.069305,0.021136,0.065681,0.037663222,0.003934768,0.006345568,0.004825288,0.005035208,0.543666667,0.561333333,0.553333333,0.538666667,0.520333333,9.3,9.4,9.48,9.51,9.506666667
KA1-2,KA,frank,8A,var,preheat,,Wed,3/3/21,7.5,60,95,78,n/a,77.66666667,,776666.6667,1188630.873,6/16/21,23.5,2.933823333,2.40393,4.900596249,34.5,,0.026618,0.025214,0.02459,,,,,,,0.025474,0.004105,0.004731808,0.004919752,0.00458552,0.594,0.610666667,0.554,0.555,,7.49,7.61,7.69,7.71,
KA3-1,KA,frank,6C,ctrl,preheat,preheat,Thur,6/10/21,16,21,33,32,n/a,28.66666667,,286666.6667,1089011.488,6/28/21,23.51,3.322863333,2.91139,4.211770691,47.7,,0.04487,0.013358,0.045182,0.010628,0.006908,0.018843,0.075798,0.014341,0.015851,0.027308778,0.002996032,0.003768472,0.003934768,0.003566424,0.528,0.549666667,0.567333333,0.538666667,,9.14,9.25,9.31,9.34,
KA3-2,KA,frank,8C,var,postheat,,Wed,3/17/21,12,17,49,61,55,45.5,,455000,1446464.972,7/19/21,24,0.49069,1.0439,3.774719821,48.1,61,0.050642,0.038474,0.008834,0.001018,0.002878,-0.002237,0.024307,0.011472,0.035481,0.018985444,-0.00152328,-0.00077108,-0.00046852,-0.00092096,0.589666667,0.615333333,0.600666667,0.567,0.532666667,7.263333333,7.34,7.41,7.42,7.426666667
KA4-1,KA,frank,6A,ctrl,postheat,,Fri,4/16/21,15,66,73,80,n/a,73,,730000,1489537.338,7/26/21,24.55,2.421213333,3.05792,7.351275945,79.2,51.4,0.012578,0.012422,0.07841,0.005668,0.012798,-0.000687,0.016606,0.02023,0.061604,0.024403222,-0.00046852,-0.00031688,0.00183128,0.000348627,0.554666667,0.598,0.547333333,0.551333333,0.532,7.903333333,8.02,8.093333333,8.14,8.16
KA4-2,KA,frank,8C,var,preheat,preheat,Wed,6/16/21,14,53,51,77,54,58.75,,587500,1056618.054,6/28/21,23.51,4.82356,3.89417,7.784269795,75.5,,0.057974,0.017726,0.02225,0.009388,0.013263,0.015743,,,,0.022724,0.004825288,0.005209048,0.004367728,0.004800688,0.589333333,0.605666667,0.569,0.545,,7.716666667,7.853333333,7.94,7.96,
KA5-1,KA,frank,6A,ctrl,preheat,,Wed,2/10/21,5,230,279,253,n/a,254,,2540000,1424404.042,7/14/21,22.18,1.80646,4.10364,8.916009522,69.9,,0.051578,0.030518,0.035822,0.058833,0.030003,0.036823,,,,0.040596167,0.008717008,0.013490392,0.012234808,0.011480736,0.555333333,0.577666667,0.56,0.556333333,,6.703333333,6.86,6.92,6.95,
KA5-2,KA,frank,8A,var,postheat,postheat,Fri,4/23/21,15,56,76,55,45,58,,580000,958905.384,6/28/21,23.51,2.268646667,1.43715,9.072845085,57.8,60.9,0.042686,0.015542,0.033014,0.024268,0.007838,0.012023,,,,0.022561833,0.006641556,0.003216456,0.002790456,0.004216156,0.578,0.623333333,0.576,0.566333333,0.545666667,7.36,7.53,7.593333333,7.606666667,7.62
KA6-1,KA,frank,6C,ctrl,postheat,,Wed,4/21/21,14,108,72,109,n/a,96.33333333,,963333.3333,2132989.709,7/19/21,24,5.5506,9.68407,6.322893453,66.9,69.5,0.017414,0.019442,0.068426,0.012488,0.012953,0.012333,,,,0.023842667,0.006854464,0.003850836,0.0027423,0.004482533,0.531333333,0.572,0.555333333,0.550666667,0.552666667,7.14,7.263333333,7.29,7.35,7.363333333
KA6-2,KA,frank,8B,var,preheat,,Mon,3/15/21,12.5,61,121,83,91,89,,890000,1161236.057,7/21/21,24.5,2.000526667,2.77687,9.580308785,55.6,,0.018448,0.021165,0.027457,,,,,,,0.022356667,0.00276632,0.00323708,0.00402648,0.003343293,0.581333333,0.603,0.599333333,0.548666667,,7.946666667,8.13,8.19,8.23,
