,CoralID,TANK,treatment,species,nubbin,genotype,pam_t0_1,pam_t0_2,pam_t0_3,bw_t0_1,bw_t0_2,bw_t0_3,notes_t0,pam_t1_1,pam_t1_2,pam_t1_3,bw_t1_1,bw_t1_2,bw_t1_3,notes_t1,pam_t2_1,pam_t2_2,pam_t2_3,bw_t2_1,bw_t2_2,bw_t2_3,notes_t2,pam_t3_1,pam_t3_2,pam_t3_3,bw_t3_1,bw_t3_2,bw_t3_3,notes_t3,pam_t4_1,pam_t4_2,pam_t4_3,bw_t4_1,bw_t4_2,bw_t4_3,notes_t4,,,,,,,,,
1,KA5-1,6A,control,frank,KA5,KA,0.572,0.535,0.559,6.7,6.71,6.7,,0.576,0.586,0.571,6.86,6.86,,,0.552,0.575,0.553,6.92,6.92,,,0.561,0.555,0.553,6.95,6.95,,,,,,,,,,,,,,,,,,
2,KB19-1,6A,control,frank,KB19,KB,0.592,0.563,0.532,7.45,7.45,7.45,,0.573,0.603,0.595,7.58,7.58,,,0.567,0.572,0.577,7.66,7.67,7.66,0.593 outlier pam,0.586,0.593,0.586,7.7,7.71,7.7,,,,,,,,,,,,,,,,,
3,KE31-1,6A,control,frank,KE31,KE,0.543,0.548,0.552,8.59,8.59,8.59,,0.588,0.556,0.604,8.75,8.75,,,0.568,0.553,0.543,8.86,8.86,,,0.524,0.524,0.523,8.91,8.91,,0.571,,,,,,,,,,,,,,,,
4,KF16-1,6A,control,frank,KF16,KF,0.544,0.531,0.544,7.8,7.8,,,0.558,0.555,0.555,8.16,8.17,8.17,,0.562,0.568,0.552,8.36,8.36,,,0.545,0.55,0.569,8.45,8.45,,,,,,,,,,,,,,,,,,
5,KG37-1,6A,control,frank,KG37,KG,0.547,0.557,0.561,7.56,7.56,,,0.561,0.665,0.553,7.85,7.84,7.85,,0.574,0.565,0.574,7.92,7.91,7.88,,0.546,0.566,0.579,7.91,7.91,,,,,,,,,,,,,,,,,,
6,KA4-1,6A,control,frank,KA4,KA,0.54,0.547,0.577,7.89,7.91,7.91,,0.67,0.57,0.554,8.02,8.02,,,0.547,0.54,0.555,8.1,8.09,8.09,,0.55,0.549,0.555,8.13,8.15,8.14,,0.541,0.538,0.517,8.16,8.16,,0.487 pam outlier,,,,,,,,,
7,KB28-1,6A,control,frank,KB28,KB,0.475,0.49,0.491,8.72,8.73,8.73,,0.558,0.565,0.532,8.86,8.86,,,0.599,0.573,0.603,8.97,8.97,,,0.556,0.555,0.567,8.92,8.95,8.96,reglued on dish,,,,,,,,,,,,,,,,
8,KE9-1,6A,control,frank,KE9,KE,0.507,0.532,0.494,7.64,7.65,7.65,,0.544,0.52,0.526,7.75,7.74,7.75,,0.539,0.533,0.529,7.83,7.82,7.82,,0.507,0.514,0.509,7.86,7.86,,,0.462,0.471,0.498,7.88,7.88,,,,,,,,,,,
9,KF19-1,6A,control,frank,KF19,KF,0.573,0.553,0.559,8,8,,,0.601,0.593,0.564,8.21,8.21,,,0.588,0.589,0.566,8.33,8.32,8.32,,0.573,0.567,0.566,8.58,8.58,,,0.558,0.566,0.58,8.6,8.6,,,,,,,,,,,
10,KG33-1,6A,control,frank,KG33,KG,0.541,0.563,0.55,7.39,7.39,,,0.56,0.617,0.573,7.62,7.61,7.61,,0.555,0.542,0.541,7.66,7.66,,,0.524,0.54,0.544,7.6,7.6,,reglued on dish,0.498,0.534,0.504,7.72,7.72,,0.512,,,,,,,,,
